state,game,year,status,reason,returncode,command,stdout_tail,stderr_tail
GA,pick3,2005,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state GA --game pick3 --start 2005-01-01 --end 2005-12-31 --source lottery.net,"Initializing database...

Ingest: state=GA game=pick3 source=lottery.net 2005-01-01..2005-12-31

--- Ingest Summary ---
  Tasks run:            2
  Raw results fetched:  0
  Observations written: 0
  Reconcile — accepted:         0
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/04  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/05
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/05  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/06
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/06  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/07
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/07  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/08
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/08  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/09
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/09  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/10
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/10  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/11
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/11  [cash-3-midday]
2026-04-12 20:04:27 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2005/12
2026-04-12 20:04:27 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/midday  2005/12  [cash-3-midday]
2026-04-12 20:04:27 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 20:04:27 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 20:04:27 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 2, 'raw_results': 0, 'observations_written': 0, 'reconcile_stats': {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
GA,pick4,2005,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state GA --game pick4 --start 2005-01-01 --end 2005-12-31 --source lottery.net,"Initializing database...

Ingest: state=GA game=pick4 source=lottery.net 2005-01-01..2005-12-31

--- Ingest Summary ---
  Tasks run:            2
  Raw results fetched:  0
  Observations written: 0
  Reconcile — accepted:         0
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/04  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/05
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/05  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/06
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/06  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/07
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/07  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/08
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/08  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/09
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/09  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/10
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/10  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/11
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/11  [cash-4-midday]
2026-04-12 20:04:30 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2005/12
2026-04-12 20:04:30 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick4/midday  2005/12  [cash-4-midday]
2026-04-12 20:04:30 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 20:04:30 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 20:04:30 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 2, 'raw_results': 0, 'observations_written': 0, 'reconcile_stats': {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
TX,pick3,2005,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state TX --game pick3 --start 2005-01-01 --end 2005-12-31 --source lottery.net,"Initializing database...

Ingest: state=TX game=pick3 source=lottery.net 2005-01-01..2005-12-31

--- Ingest Summary ---
  Tasks run:            4
  Raw results fetched:  0
  Observations written: 0
  Reconcile — accepted:         0
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/04  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/05
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/05  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/06
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/06  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/07
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/07  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/08
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/08  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/09
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/09  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/10
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/10  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/11
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/11  [pick-3-night]
2026-04-12 20:04:36 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2005/12
2026-04-12 20:04:36 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick3/night  2005/12  [pick-3-night]
2026-04-12 20:04:36 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 20:04:36 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 20:04:36 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 4, 'raw_results': 0, 'observations_written': 0, 'reconcile_stats': {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
TX,pick4,2005,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state TX --game pick4 --start 2005-01-01 --end 2005-12-31 --source lottery.net,"Initializing database...

Ingest: state=TX game=pick4 source=lottery.net 2005-01-01..2005-12-31

--- Ingest Summary ---
  Tasks run:            4
  Raw results fetched:  0
  Observations written: 0
  Reconcile — accepted:         0
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/04  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/05
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/05  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/06
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/06  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/07
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/07  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/08
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/08  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/09
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/09  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/10
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/10  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/11
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/11  [daily-4-night]
2026-04-12 20:04:41 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2005/12
2026-04-12 20:04:41 INFO     sources.lottery_net:   lottery.net: 0 rows  TX/pick4/night  2005/12  [daily-4-night]
2026-04-12 20:04:41 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 20:04:41 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 20:04:41 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 4, 'raw_results': 0, 'observations_written': 0, 'reconcile_stats': {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
OR,pick3,2005,skipped,unsupported_state_game_combo,0,preset-skip,,
OR,pick4,2005,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state OR --game pick4 --start 2005-01-01 --end 2005-12-31 --source lottery.net,"Initializing database...

Ingest: state=OR game=pick4 source=lottery.net 2005-01-01..2005-12-31

--- Ingest Summary ---
  Tasks run:            4
  Raw results fetched:  1460
  Observations written: 1460
  Reconcile — accepted:         1460
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2005/04  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/05
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2005/05  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/06
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2005/06  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/07
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2005/07  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/08
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2005/08  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/09
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2005/09  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/10
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2005/10  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/11
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2005/11  [pick-4-10pm]
2026-04-12 20:04:47 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2005/12
2026-04-12 20:04:47 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2005/12  [pick-4-10pm]
2026-04-12 20:04:47 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 20:04:48 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 1460, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 20:04:49 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 4, 'raw_results': 1460, 'observations_written': 1460, 'reconcile_stats': {'accepted': 1460, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
DC,pick3,2005,skipped,unsupported_registry_missing,1,/workspaces/lottery-engine/.venv/bin/python -m cli.validate_state --state DC --game pick3 --month 2005-01 --source lottery.net --dry-run,"  ⚠ Slugs: ESTIMATED — verify before backfill  WARN
    6/6 mappings are ESTIMATED (unconfirmed on live site).
      check → https://www.lottery.net/district-of-columbia/dc-3-midday/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-evening/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-night/results/2024
      Run: python -m cli.validate_state --state DC --game pick3 --month 2005-01 --source lottery.net --dry-run
  – Registry metadata                          SKIP
    REGISTRY_META not found in definition file

  ↳ WARN  (1 warning(s))

── 2. URL planning ──
  ✗ URL generation                             FAIL
    No tasks generated. Check lifecycle windows and source coverage years.
  ↳ FAIL  (1 check(s) failed)

══════════════════════════════════════════════════════════════
  RESULT: FAIL  (1 failure(s), 1 warning(s))
══════════════════════════════════════════════════════════════
  STATE=DC  GAME=pick3  MONTH=2005-01  SOURCE=lottery.net  RESULT=FAIL  REASON=""URL generation: No tasks generated. Check lifecycle windows and source coverage """,
DC,pick4,2005,skipped,unsupported_registry_missing,1,/workspaces/lottery-engine/.venv/bin/python -m cli.validate_state --state DC --game pick4 --month 2005-01 --source lottery.net --dry-run,"  ⚠ Slugs: ESTIMATED — verify before backfill  WARN
    6/6 mappings are ESTIMATED (unconfirmed on live site).
      check → https://www.lottery.net/district-of-columbia/dc-3-midday/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-evening/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-night/results/2024
      Run: python -m cli.validate_state --state DC --game pick4 --month 2005-01 --source lottery.net --dry-run
  – Registry metadata                          SKIP
    REGISTRY_META not found in definition file

  ↳ WARN  (1 warning(s))

── 2. URL planning ──
  ✗ URL generation                             FAIL
    No tasks generated. Check lifecycle windows and source coverage years.
  ↳ FAIL  (1 check(s) failed)

══════════════════════════════════════════════════════════════
  RESULT: FAIL  (1 failure(s), 1 warning(s))
══════════════════════════════════════════════════════════════
  STATE=DC  GAME=pick4  MONTH=2005-01  SOURCE=lottery.net  RESULT=FAIL  REASON=""URL generation: No tasks generated. Check lifecycle windows and source coverage """,
FL,pick3,2005,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state FL --game pick3 --start 2005-01-01 --end 2005-12-31 --source lottery.net,"Initializing database...

Ingest: state=FL game=pick3 source=lottery.net 2005-01-01..2005-12-31

--- Ingest Summary ---
  Tasks run:            2
  Raw results fetched:  0
  Observations written: 0
  Reconcile — accepted:         0
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/04  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/05
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/05  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/06
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/06  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/07
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/07  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/08
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/08  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/09
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/09  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/10
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/10  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/11
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/11  [pick-3-midday]
2026-04-12 20:04:52 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2005/12
2026-04-12 20:04:52 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick3/midday  2005/12  [pick-3-midday]
2026-04-12 20:04:52 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 20:04:52 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 20:04:52 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 2, 'raw_results': 0, 'observations_written': 0, 'reconcile_stats': {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
FL,pick4,2005,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state FL --game pick4 --start 2005-01-01 --end 2005-12-31 --source lottery.net,"Initializing database...

Ingest: state=FL game=pick4 source=lottery.net 2005-01-01..2005-12-31

--- Ingest Summary ---
  Tasks run:            2
  Raw results fetched:  0
  Observations written: 0
  Reconcile — accepted:         0
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/04  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/05
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/05  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/06
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/06  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/07
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/07  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/08
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/08  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/09
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/09  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/10
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/10  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/11
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/11  [pick-4-midday]
2026-04-12 20:04:54 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2005/12
2026-04-12 20:04:54 INFO     sources.lottery_net:   lottery.net: 0 rows  FL/pick4/midday  2005/12  [pick-4-midday]
2026-04-12 20:04:54 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 20:04:54 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 20:04:54 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 2, 'raw_results': 0, 'observations_written': 0, 'reconcile_stats': {'accepted': 0, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
